model,dataset,window,horizon,ablation,seed,use_adj,timestamp,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak,sim_mat
EpiSIG-Net-V3,australia-covid,20,3,no_agam,1,True,20260204_213753,77.64071655273438,179.2861328125,241.30634057148188,95.41201782226562,0.998044490814209,0.7922641634941101,0.0048218998126685,0.984464466571808,-12.133342742919922,0.9855145812034608,0.7005772590637207,317.0832214355469,default
MSTAGAT-Net,australia-covid,20,3,no_agam,5,True,20260127_055722,128.93515014648438,286.0227355957031,353.4202747791926,145.2128448486328,0.997442901134491,0.7912808656692505,0.0116121117025613,0.9666748642921448,-46.82974624633789,0.9691022038459778,0.1036221385002136,505.98828125,default
EpiSIG-Net-V3,australia-covid,20,3,no_mtfm,1,True,20260204_214506,77.64071655273438,179.2861328125,241.30634057148188,95.41201782226562,0.998044490814209,0.7922641634941101,0.0048218998126685,0.984464466571808,-12.133342742919922,0.9855145812034608,0.7005772590637207,317.0832214355469,default
MSTAGAT-Net,australia-covid,20,3,no_mtfm,5,True,20260127_055824,122.5218505859375,265.80841064453125,339.15946194231407,141.4315948486328,0.99695086479187,0.7747706770896912,0.0128334732726216,0.9693099856376648,-98.35494995117188,0.9712280631065368,0.5475096106529236,471.7412109375,default
EpiSIG-Net-V3,australia-covid,20,3,no_pprm,1,True,20260204_215244,77.64071655273438,179.2861328125,241.30634057148188,95.41201782226562,0.998044490814209,0.7922641634941101,0.0048218998126685,0.984464466571808,-12.133342742919922,0.9855145812034608,0.7005772590637207,317.0832214355469,default
MSTAGAT-Net,australia-covid,20,3,no_pprm,5,True,20260127_055902,230.12437438964844,568.5996704101562,700.9218260619368,263.9877624511719,0.9846202731132508,0.6060158014297485,0.0044941529631614,0.8689224720001221,-34.173072814941406,0.8825685381889343,-2.9118638038635254,998.8828735351562,default
EpiSIG-Net-V3,australia-covid,20,3,none,1,True,20260204_213015,77.64071655273438,179.2861328125,241.30634057148188,95.41201782226562,0.998044490814209,0.7922641634941101,0.0048218998126685,0.984464466571808,-12.133342742919922,0.9855145812034608,0.7005772590637207,317.0832214355469,default
EpiSIG-Net-V3,australia-covid,20,3,none,2,True,20260204_121929,45.30616760253906,87.00321960449219,145.33937251524446,63.675758361816406,0.9987115859985352,0.8031796813011169,0.0076828044839203,0.9943642020225524,-35.42176818847656,0.9945075511932372,0.7253085970878601,154.64361572265625,default
EpiSIG-Net-V3,australia-covid,20,3,none,3,True,20260204_122108,47.9396858215332,86.9970932006836,155.64406258752692,70.10152435302734,0.9982944130897522,,0.0088820392265915,0.9935367107391356,-43.37680816650391,0.9936388731002808,0.7182826995849609,153.90386962890625,default
EpiSIG-Net-V3,australia-covid,20,3,none,4,True,20260204_122155,126.95099639892578,276.5102844238281,366.1248292932344,150.4594268798828,0.99534809589386,0.8023236989974976,0.01404963247478,0.9642359018325806,-110.01253509521484,0.9663921594619752,0.6281571388244629,487.7552185058594,default
