,MAE,RMSE,PCC,R2,MAE_change,RMSE_change,PCC_change,R2_change
none,653.5042,1842.1596700612029,0.4768415590859887,0.1940929213078419,0.0,0.0,0.0,0.0
no_eagam,657.61816,1834.8265585607808,0.4817383191647318,0.2004962837870096,0.6295231155362154,-0.3980714386271664,1.0269155415331765,3.2991221091528735
no_dmtm,751.9858,1973.0711467151916,0.3132086422086932,0.075480839674081,15.069773078734624,7.106413129196311,-34.315993176212984,-61.110977584615625
no_ppm,806.1059,1809.1073765810584,0.489909416684072,0.2227528567526675,23.351295982489486,-1.794214367913417,2.740503076772886,14.766090000453651
