model,timestamp,dataset,window,horizon,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak
MSTAGAT-Net,20250425_154255,region785,20,5,440.72226,304.39413,832.8185201470966,683.917,0.8395876072825846,0.7674320596637716,5.91504752635956e-08,0.6584830972040603,0.4861703099756477,0.6901580095291138,0.5782681107521057,634.4932
MSTAGAT-Net,20250428_230902,region785,20,5,426.925048828125,281.068359375,832.5862943262998,689.38916015625,0.8660583914302835,0.7829678224901555,3.96030217409134e-08,0.6586734958008227,0.4710379632330311,0.7136896848678589,0.5851446866989136,625.7408447265625
MSTAGAT-Net,20250428_231955,region785,20,5,473.6495361328125,331.74224853515625,919.3370233488912,755.6517333984375,0.8452015511916504,0.7656840261286405,3.628539443016053e-08,0.5838393763318142,0.3829265002017522,0.6647024750709534,0.5611668109893799,692.8560180664062
MSTAGAT-Net,20250428_233810,region785,20,5,426.925048828125,281.068359375,832.5862943262998,689.38916015625,0.8660583914302835,0.7829678224901555,3.9603021740913395e-08,0.6586734958008227,0.4710379632330311,0.7136896848678589,0.5851446866989136,625.7408447265625
MSTAGAT-Net,20250429_004406,region785,20,5,417.16259765625,256.79901123046875,770.2339741922581,649.2371826171875,0.8438830591875361,0.786719308798451,6.732017397880555e-08,0.7078830181983502,0.46228965193096744,0.7119601964950562,0.5732429504394532,596.4497680664062
