model,timestamp,dataset,window,horizon,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak
EnhancedMSAGAT-Net,20250501_170538,region785,20,10,579.64087,362.5699,1014.6920099222226,833.3797,0.715130601712458,0.5102267864021329,1.1197636127471925e-07,0.4930326853771218,0.1698621902922922,0.5007767081260681,0.2726863384246826,726.3383
EnhancedMSAGAT-Net,20250501_172244,region785,20,10,618.8112182617188,393.2433776855469,1117.1199577484954,919.4649658203124,0.6753146442728338,0.3537749142639692,1.0960571765899658e-07,0.38551524910344,-0.0003114416781625,0.4343538284301758,0.1417164504528045,834.77392578125
EnhancedMSAGAT-Net,20250501_174718,region785,20,10,598.0669555664062,386.9103088378906,1107.0307132144076,906.6114501953124,0.6830515800909314,0.4145845993577713,1.0053597688674926e-07,0.3965645547145624,0.0416968682936041,0.442879855632782,0.1633738458156585,806.8529663085938
EnhancedMSAGAT-Net,20250501_181118,region785,20,10,618.8112182617188,393.2433776855469,1117.1199577484954,919.4649658203124,0.6753146442728338,0.3537749142639692,1.0960571765899658e-07,0.38551524910344,-0.0003114416781625,0.4343538284301758,0.1417164504528045,834.77392578125
EnhancedMSAGAT-Net,20250501_182917,region785,20,10,579.640869140625,362.56988525390625,1014.6920099222226,833.3796997070312,0.715130601712458,0.5102267864021329,1.1197636127471924e-07,0.49303268537712186,0.1698621902922922,0.5007767081260681,0.2726863384246826,726.3383178710938
