model,timestamp,dataset,window,horizon,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak
MSTAGAT-Net,20250501_082224,region785,20,15,842.74225,490.85687,1358.3828620827046,1183.1906,0.478227278562144,0.2246294493735444,2.161545753479004e-07,0.0914353298444701,-1.201458976380244,0.0925968885421752,-0.9291870653629304,962.9897
MSTAGAT-Net,20250501_093429,region785,20,15,842.7422485351562,490.85687255859375,1358.3828620827046,1183.1905517578125,0.478227278562144,0.2246294493735444,2.161545753479004e-07,0.0914353298444701,-1.201458976380244,0.0925968885421752,-0.9291870653629304,962.9896850585938
MSTAGAT-Net,20250501_094708,region785,20,15,842.7422485351562,490.85687255859375,1358.3828620827046,1183.1905517578125,0.478227278562144,0.2246294493735444,2.161545753479004e-07,0.0914353298444701,-1.201458976380244,0.0925968885421752,-0.9291870653629304,962.9896850585938
MSTAGAT-Net,20250501_095151,region785,20,15,842.7422485351562,490.85687255859375,1358.3828620827046,1183.1905517578125,0.478227278562144,0.2246294493735444,2.161545753479004e-07,0.0914353298444701,-1.201458976380244,0.0925968885421752,-0.9291870653629304,962.9896850585938
MSTAGAT-Net,20250501_095527,region785,20,15,842.7422485351562,490.85687255859375,1358.3828620827046,1183.1905517578125,0.478227278562144,0.2246294493735444,2.161545753479004e-07,0.0914353298444701,-1.201458976380244,0.0925968885421752,-0.9291870653629304,962.9896850585938
MSTAGAT-Net,20250501_104233,region785,20,15,842.7422485351562,490.85687255859375,1358.3828620827046,1183.1905517578125,0.478227278562144,0.2246294493735444,2.161545753479004e-07,0.0914353298444701,-1.201458976380244,0.0925968885421752,-0.9291870653629304,962.9896850585938
MSTAGAT-Net,20250501_110626,region785,20,15,842.7422485351562,490.85687255859375,1358.3828620827046,1183.1905517578125,0.478227278562144,0.2246294493735444,2.161545753479004e-07,0.0914353298444701,-1.201458976380244,0.0925968885421752,-0.9291870653629304,962.9896850585938
MSTAGAT-Net,20250501_110923,region785,20,15,842.7422485351562,490.85687255859375,1358.3828620827046,1183.1905517578125,0.478227278562144,0.2246294493735444,2.161545753479004e-07,0.0914353298444701,-1.201458976380244,0.0925968885421752,-0.9291870653629304,962.9896850585938
MSTAGAT-Net,20250501_112720,region785,20,15,710.0578002929688,453.0318603515625,1261.5739177709722,1043.460693359375,0.6068742608834993,0.2611085665947867,1.2931787967681885e-07,0.2163233963901371,-0.1920207935238883,0.3184270858764648,0.063918524980545,595.0941772460938
MSTAGAT-Net,20250501_123240,region785,20,15,842.7422485351562,490.85687255859375,1358.3828620827046,1183.1905517578125,0.478227278562144,0.2246294493735444,2.161545753479004e-07,0.0914353298444701,-1.201458976380244,0.0925968885421752,-0.9291870653629304,962.9896850585938
MSTAGAT-Net,20250501_125159,region785,20,15,637.8271484375,413.0075988769531,1150.3287030236183,952.8279418945312,0.6771213280969904,0.5063856652891313,1.173037886619568e-07,0.3484385820146751,-0.0469536198138525,0.4133935570716858,0.2080702126026153,865.7212524414062
MSTAGAT-Net,20250501_135759,region785,20,15,745.7994384765625,413.4915161132813,1259.711921432833,1076.4439697265625,0.5022615579401271,0.0851390876272984,1.503788471221924e-07,0.2186350075797588,-0.5179007190104923,0.2498911023139953,-0.2852063715457916,963.7316284179688
MSTAGAT-Net,20250501_140038,region785,20,15,663.1795654296875,414.85882568359375,1177.5935737766235,975.8123168945312,0.6216973126692689,0.3612048656114352,1.33732271194458e-07,0.317186097832274,-0.0572893890740642,0.3663621544837951,0.1253605425357818,864.1276245117188
MSTAGAT-Net,20250501_141744,region785,20,15,721.3197631835938,452.159423828125,1295.6257657981334,1076.5361328125,0.548060260246402,0.051365521419571,1.2174947261810308e-07,0.1734471147557863,-0.2918636713663152,0.2764607667922973,-0.0577323257923126,1002.4534301757812
MSTAGAT-Net,20250501_142028,region785,20,15,856.7587890625,549.2357177734375,1441.734935763159,1199.3072509765625,0.3039673682518297,-0.1300160063002693,1.8298267126083373e-07,-0.0234869528722667,-0.7351578177543617,0.0328843593597412,-0.4200788617134094,1070.0931396484375
MSTAGAT-Net,20250501_142352,region785,20,15,650.6954345703125,414.470947265625,1186.3296864699964,978.1007690429688,0.6355273440073902,0.31539800721866257,1.2010498046875e-07,0.3070175482639165,-0.06509871391814762,0.3795074224472046,0.10611310005187988,894.1774291992188
