model,timestamp,dataset,window,horizon,loss,mae,std_mae,rmse,rmse_states,pcc,pcc_states,r2,r2_states,peak_mae
MSTAGAT-Net,20250501_121956,japan,20,5,2.1719562598403164e-05,382.61493,337.4685,1137.7383266814911,826.6441,0.8698463895675885,0.8826211838926479,0.6925919837331247,0.7067679181173426,1095.9275
MSTAGAT-Net,20250501_122616,japan,20,5,2.0679343197392837e-05,368.41119384765625,335.10699462890625,1089.9777520665273,787.6171264648438,0.8745307777338462,0.8916534041168029,0.7178593101954929,0.7384113035166816,1092.0574951171875
