model,timestamp,dataset,window,horizon,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak
MSTAGAT-Net,20250430_202017,japan,20,5,391.8414,342.11163,1087.471378933717,793.99036,0.8848976597214671,0.8974981465136349,0.049656996875,0.7191553859333716,0.7286986763458918,0.7200556993484497,0.7345817659763579,1051.6884
MSTAGAT-Net,20250430_204443,japan,20,5,391.8414001464844,342.11163330078125,1087.471378933717,793.9903564453125,0.8848976597214671,0.8974981465136349,0.049656996875,0.7191553859333716,0.7286986763458918,0.7200556993484497,0.7345817659763579,1051.6883544921875
MSTAGAT-Net,20250501_095954,japan,20,5,387.6126403808594,353.4119873046875,1171.6718823971155,845.0531005859375,0.8701787120935488,0.8903594440192122,0.03143423125,0.6739813310051963,0.7000657881175906,0.6786403656005859,0.7106294936322152,1149.1632080078125
MSTAGAT-Net,20250501_102440,japan,20,5,387.6126403808594,353.4119873046875,1171.6718823971155,845.0531005859375,0.8701787120935488,0.8903594440192122,0.03143423125,0.6739813310051963,0.7000657881175906,0.6786403656005859,0.7106294936322152,1149.1632080078125
MSTAGAT-Net,20250501_104558,japan,20,5,387.6126403808594,353.4119873046875,1171.6718823971155,845.0531005859375,0.8701787120935488,0.8903594440192122,0.03143423125,0.6739813310051963,0.7000657881175906,0.6786403656005859,0.7106294936322152,1149.1632080078125
MSTAGAT-Net,20250501_110226,japan,20,5,391.8414001464844,342.11163330078125,1087.471378933717,793.9903564453125,0.8848976597214671,0.8974981465136349,0.049656996875,0.7191553859333716,0.7286986763458918,0.7200556993484497,0.7345817659763579,1051.6883544921875
MSTAGAT-Net,20250501_114920,japan,20,5,391.2028503417969,354.243896484375,1103.0093494617352,793.6920166015625,0.8801284748119388,0.9024694444768386,0.05917955625,0.7110725495498935,0.7383925161185534,0.7132034301757812,0.7445760432710039,1086.510986328125
MSTAGAT-Net,20250501_121532,japan,20,5,382.6149291992188,337.468505859375,1137.7383266814911,826.6441040039062,0.8698463895675885,0.8826211838926479,0.029712421875,0.6925919837331247,0.7067679181173426,0.6947375535964966,0.7137717756819217,1095.927490234375
MSTAGAT-Net,20250502_131854,japan,20,5,377.14874267578125,344.5153503417969,1147.8607820637483,827.426513671875,0.8766201138496399,0.8947868943214417,0.0069572813808918,0.6870975494384766,0.7139793038368225,0.6937675476074219,0.7281825542449951,1148.011962890625
