number,value,datetime_start,datetime_complete,duration,params_attention_reg_weight,params_attn_heads,params_dropout,params_hidden_dim,params_kernel_size,params_low_rank_dim,params_lr,params_num_scales,params_temp_conv_out_channels,params_weight_decay,user_attrs_best_efficiency,user_attrs_best_pcc,user_attrs_best_pcc_epoch,user_attrs_best_rmse,user_attrs_best_rmse_epoch,user_attrs_epochs_trained,user_attrs_final_pcc,user_attrs_final_rmse,user_attrs_param_count,user_attrs_test_pcc,user_attrs_test_rmse,state
19,501.6549052483521,2025-04-03 19:34:12.129349,2025-04-03 19:34:41.881071,0 days 00:00:29.751722,0.001,4,0.46575703745597274,16,7,8,0.0005,3,48,0.0,501.6549052483521,0.8524744963284104,90.0,1002.814453125,91.0,101.0,0.8428182252805798,1022.06005859375,15858,0.8793394054747609,1099.5772705078125,COMPLETE
20,483.30555404099607,2025-04-03 19:34:41.882413,2025-04-03 19:35:04.310842,0 days 00:00:22.428429,0.001,2,0.469028833868537,16,7,8,0.0005,2,48,0.0,483.30555404099607,0.8625721722910188,97.0,966.1320190429688,85.0,101.0,0.8526272153312593,996.3125610351562,12513,0.8718453997178508,1098.3450927734375,COMPLETE
21,482.1741959118328,2025-04-03 19:35:04.312290,2025-04-03 19:35:27.590879,0 days 00:00:23.278589,0.001,2,0.4970176830283407,16,7,8,0.0005,2,48,0.0,482.1741959118328,0.8644393466153883,79.0,963.8699340820312,67.0,101.0,0.8476974943487077,1016.269775390625,12513,0.8770498580791535,1082.111083984375,COMPLETE
22,481.8907868104599,2025-04-03 19:35:27.591955,2025-04-03 19:35:49.044115,0 days 00:00:21.452160,0.001,2,0.4988464331389509,16,7,8,0.0005,2,48,0.0,481.8907868104599,0.8643016051897482,90.0,963.3028564453125,68.0,101.0,0.8381868031705667,1048.39111328125,12513,0.8802448830493099,1084.23681640625,COMPLETE
23,483.4888025039696,2025-04-03 19:35:49.045387,2025-04-03 19:36:21.459579,0 days 00:00:32.414192,0.001,2,0.4576594071895315,16,7,8,0.0005,3,48,0.0,483.4888025039696,0.8628789084382747,61.0,966.4933471679688,61.0,101.0,0.8510155253383511,997.8641357421875,14354,0.8793995762642707,1070.1451416015625,COMPLETE
24,809.4051481807614,2025-04-03 19:36:21.460896,2025-04-03 19:36:42.538018,0 days 00:00:21.077122,0.001,2,0.44518206664309506,16,7,8,5e-05,2,48,0.0,809.4051481807614,0.5484872748743452,98.0,1618.169189453125,89.0,104.0,0.5238967295893142,1695.9652099609375,12513,0.42478646073084597,1863.435302734375,COMPLETE
25,500.26247843604307,2025-04-03 19:36:42.539252,2025-04-03 19:37:10.698743,0 days 00:00:28.159491,0.001,2,0.4791215393278413,16,7,16,0.0005,3,12,0.0,500.26247843604307,0.8531063828109076,91.0,1000.0198364257812,99.0,101.0,0.8493838278593159,1003.1826171875,20378,0.876595332634886,1081.3953857421875,COMPLETE
26,,2025-04-03 19:37:10.700038,2025-04-03 19:37:10.746362,0 days 00:00:00.046324,0.001,2,0.4776373038654122,48,7,8,0.0005,2,16,0.0,,,,,,,,,62945,,,PRUNED
27,,2025-04-03 19:37:10.746830,2025-04-03 19:37:10.791952,0 days 00:00:00.045122,0.001,8,0.20096994842668858,64,9,12,0.0005,3,48,0.0,,,,,,,,,171160,,,PRUNED
28,,2025-04-03 19:37:10.792507,2025-04-03 19:37:10.837326,0 days 00:00:00.044819,0.001,4,0.43255667138363674,96,7,8,0.0005,2,48,0.0,,,,,,,,,224577,,,PRUNED
29,752.5569304705548,2025-04-03 19:37:10.837781,2025-04-03 19:37:36.971578,0 days 00:00:26.133797,1e-05,16,0.38629324115049385,32,9,8,0.0001,2,24,1e-05,752.5569304705548,0.6220342468093543,102.0,1504.4542236328125,90.0,103.0,0.6195026016931146,1510.56689453125,46723,0.5566161763715599,1720.708251953125,COMPLETE
30,,2025-04-03 19:37:36.972897,2025-04-03 19:37:37.031100,0 days 00:00:00.058203,0.0001,2,0.4767434421781845,64,7,8,5e-05,3,48,0.001,,,,,,,,,133922,,,PRUNED
31,481.6037377806347,2025-04-03 19:37:37.031584,2025-04-03 19:37:54.036175,0 days 00:00:17.004591,0.001,2,0.49870009723386677,16,7,8,0.0005,2,48,0.0,481.6037377806347,0.8638257217075489,79.0,962.7289428710938,67.0,101.0,0.8332072271468789,1064.3270263671875,12513,0.8782321300248936,1084.168701171875,COMPLETE
32,481.32641053578146,2025-04-03 19:37:54.039752,2025-04-03 19:38:10.083476,0 days 00:00:16.043724,0.001,2,0.4991741683061516,16,7,8,0.0005,2,48,0.0,481.32641053578146,0.8647468784830188,90.0,962.17431640625,68.0,101.0,0.8446545249341025,1026.7764892578125,12513,0.8805879942192076,1082.23681640625,COMPLETE
33,480.04860753591555,2025-04-03 19:38:10.084742,2025-04-03 19:38:25.282549,0 days 00:00:15.197807,0.001,2,0.4484726106604827,16,7,8,0.0005,2,48,0.0,480.04860753591555,0.865555476834164,88.0,959.619140625,87.0,101.0,0.8530736182151124,993.5247192382812,12513,0.8767718675344068,1085.810302734375,COMPLETE
34,487.65656997819724,2025-04-03 19:38:25.283915,2025-04-03 19:39:22.604055,0 days 00:00:57.320140,0.001,2,0.4467605112118109,16,7,12,0.0005,6,24,1e-05,487.65656997819724,0.8583163494787187,72.0,974.8063354492188,72.0,105.0,0.8294366465597356,1063.5369873046875,22889,0.874428490762411,1107.2337646484375,COMPLETE
