number,value,datetime_start,datetime_complete,duration,params_attention_reg_weight,params_attn_heads,params_dropout,params_hidden_dim,params_kernel_size,params_low_rank_dim,params_lr,params_num_scales,params_temp_conv_out_channels,params_weight_decay,user_attrs_beats_target,user_attrs_best_efficiency,user_attrs_best_pcc,user_attrs_best_pcc_epoch,user_attrs_best_rmse,user_attrs_best_rmse_epoch,user_attrs_epochs_trained,user_attrs_final_pcc,user_attrs_final_rmse,user_attrs_param_count,user_attrs_test_pcc,user_attrs_test_rmse,state
0,,2025-04-04 01:18:13.454369,2025-04-04 01:18:14.351131,0 days 00:00:00.896762,0.001,16,0.38285922910390646,64,3,4,5e-05,6,24,0.0,,,,,,,,,,116845,,,PRUNED
1,,2025-04-04 01:18:14.351548,2025-04-04 01:18:14.380573,0 days 00:00:00.029025,0.0001,16,0.11137419681631146,64,7,16,5e-05,6,32,0.0001,,,,,,,,,,234413,,,PRUNED
2,,2025-04-04 01:18:14.380885,2025-04-04 01:18:14.407421,0 days 00:00:00.026536,0.0001,4,0.18296698616964546,64,3,6,0.0001,4,32,1e-06,,,,,,,,,,93653,,,PRUNED
3,649.7182053438017,2025-04-04 01:18:14.407709,2025-04-04 01:18:38.604331,0 days 00:00:24.196622,0.001,4,0.17217996496436583,48,3,8,0.0002,2,16,1e-05,False,649.7182053438017,0.7678046978562878,67.0,927.9564208984375,71.0,171.0,0.6188113192077331,1056.2928466796875,43645,0.7081229366777465,1058.174560546875,COMPLETE
4,,2025-04-04 01:18:38.605642,2025-04-04 01:18:38.644788,0 days 00:00:00.039146,0.001,16,0.39014789923934134,48,7,4,0.0002,3,12,1e-06,,,,,,,,,,74814,,,PRUNED
5,,2025-04-04 01:18:38.645186,2025-04-04 01:18:38.683871,0 days 00:00:00.038685,0.0001,16,0.25393070754173386,48,5,12,0.0005,5,8,0.0005,,,,,,,,,,95238,,,PRUNED
6,,2025-04-04 01:18:38.684248,2025-04-04 01:18:38.723103,0 days 00:00:00.038855,0.0001,4,0.21727134476081852,48,3,8,0.0005,6,32,0.0005,,,,,,,,,,71873,,,PRUNED
7,,2025-04-04 01:18:38.723467,2025-04-04 01:18:38.762754,0 days 00:00:00.039287,0.001,4,0.139094315887114,64,3,12,0.0002,6,8,0.0,,,,,,,,,,126805,,,PRUNED
8,,2025-04-04 01:18:38.763116,2025-04-04 01:18:38.801609,0 days 00:00:00.038493,0.0001,8,0.3768182039974102,64,5,4,0.0001,3,16,1e-05,,,,,,,,,,103340,,,PRUNED
9,,2025-04-04 01:18:38.801970,2025-04-04 01:18:38.840544,0 days 00:00:00.038574,0.0001,2,0.1513007943985932,64,3,16,5e-05,5,16,0.0,,,,,,,,,,119144,,,PRUNED
