number,value,datetime_start,datetime_complete,duration,params_attention_reg_weight,params_attn_heads,params_dropout,params_hidden_dim,params_kernel_size,params_low_rank_dim,params_lr,params_num_scales,params_temp_conv_out_channels,params_weight_decay,user_attrs_beats_target,user_attrs_best_efficiency,user_attrs_best_pcc,user_attrs_best_pcc_epoch,user_attrs_best_rmse,user_attrs_best_rmse_epoch,user_attrs_epochs_trained,user_attrs_final_pcc,user_attrs_final_rmse,user_attrs_param_count,user_attrs_test_pcc,user_attrs_test_rmse,state
0,832.888729264862,2025-04-04 00:59:00.767546,2025-04-04 00:59:14.836272,0 days 00:00:14.068726,0.0,16,0.19012480284800487,16,3,8,0.0005,4,8,0.0001,,,,,,,,,,13151,,,PRUNED
1,,2025-04-04 00:59:14.837798,2025-04-04 00:59:14.883949,0 days 00:00:00.046151,1e-05,2,0.21254745669715985,48,7,4,0.0002,4,12,1e-06,,,,,,,,,,89967,,,PRUNED
2,659.6443539332239,2025-04-04 00:59:14.884381,2025-04-04 00:59:46.806370,0 days 00:00:31.921989,0.0,4,0.1373429009643033,32,5,12,0.0001,5,16,0.0001,False,659.6443539332239,0.7705391325232537,99.0,942.1502075195312,99.0,199.0,0.7320822117268181,987.7570190429688,46326,0.727713120663644,1168.230224609375,COMPLETE
3,,2025-04-04 00:59:46.807731,2025-04-04 00:59:46.848713,0 days 00:00:00.040982,1e-05,4,0.27964830464813467,64,7,16,0.0002,6,32,0.0005,,,,,,,,,,230573,,,PRUNED
4,953.905952233344,2025-04-04 00:59:46.849096,2025-04-04 00:59:54.619722,0 days 00:00:07.770626,0.0001,8,0.27982629959939365,32,5,12,0.0005,4,24,0.0005,,,,,,,,,,42069,,,PRUNED
