model,timestamp,dataset,window,horizon,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak,ablation
MSTAGAT-Net,20260114_233605,spain-covid,20,3,18.00522804260254,63.710964,137.24122666631555,28.608263,0.68400663,,0.13887066,0.4224822521209717,-5.314426,0.4270135760307312,0.18222222,9.675827980041504,no_agam
MSTAGAT-Net,20260114_233626,spain-covid,20,3,18.982288360595703,67.97444,136.24475333934882,29.248762,0.69036824,,0.14475115,0.4308382272720337,-5.1984205,0.4362922310829162,-0.5603236,9.433837890625,no_mtfm
MSTAGAT-Net,20260114_233659,spain-covid,20,3,19.77010726928711,83.01989,162.43289479812887,32.830326,0.4603965,,0.122006364,0.1910081505775451,-3.8501918,0.1925613284111023,-1.8531048,20.829647064208984,no_pprm
MSTAGAT-Net,20260114_233537,spain-covid,20,3,26.215087890625,80.884514,139.52785200229738,34.89844,0.67143375,,0.21098128,0.4030774235725403,-13.707864,0.4154660105705261,-0.3531666,10.316216468811035,none
MSTAGAT-Net,20260114_233813,spain-covid,20,7,27.097257614135746,97.12503,162.1619079037984,36.551003,0.5141022,,0.20811877,0.1937052011489868,-11.451265,0.2039260864257812,-0.2049129,14.886990547180176,no_agam
MSTAGAT-Net,20260114_233829,spain-covid,20,7,39.13697814941406,113.82942,168.27370862860604,46.76094,0.47126102,,0.31182373,0.1317821145057678,-27.880095,0.1588650345802307,-0.39275086,16.016277313232422,no_mtfm
MSTAGAT-Net,20260114_233859,spain-covid,20,7,26.06739616394043,106.95022,174.13633981380795,36.867233,0.28987584,,0.17757608,0.0702310800552368,-10.246485,0.0726482272148132,-5.7884245,21.640281677246094,no_pprm
MSTAGAT-Net,20260114_233739,spain-covid,20,7,25.075927734375,107.23849,164.0909380115185,33.625145,0.48466977,,0.1870018,0.1744081974029541,-4.9748363,0.1818405389785766,-0.5259003,15.976947784423828,none
MSTAGAT-Net,20260114_234020,spain-covid,20,14,17.0582275390625,92.38201,167.26490030786496,28.111324,0.3852079,,0.09993312,0.142160952091217,-0.6328742,0.1423960924148559,-0.025171747,20.264524459838867,no_agam
MSTAGAT-Net,20260114_234042,spain-covid,20,14,28.218868255615234,90.7282,170.22685920191913,39.749348,0.35377124,,0.20156123,0.1115103960037231,-12.099624,0.1193696856498718,-1.1457595,20.70635414123535,no_mtfm
MSTAGAT-Net,20260114_234126,spain-covid,20,14,51.08042144775391,129.9966,198.70017064033945,64.23162,0.1537449,,0.3921013,-0.2105777263641357,-84.72705,-0.1681199073791504,-17.4628,22.080528259277344,no_pprm
MSTAGAT-Net,20260114_233948,spain-covid,20,14,48.28544998168945,144.87813,196.7986459080702,60.10422,0.24630272,,0.3774984,-0.1875185966491699,-64.01261,-0.1467740535736084,-22.480314,20.109277725219727,none
MSTAGAT-Net,20260114_223432,state360,20,3,68.0164794921875,79.32989,171.5903324418366,110.22486,0.9225626,0.7998376,0.0013744747,0.8509700298309326,-0.23099168,0.8511121869087219,0.08500001,125.4571304321289,no_agam
MSTAGAT-Net,20260114_223522,state360,20,3,68.90577697753906,80.9395,164.08898000589497,106.70303,0.9304873,0.77956814,0.0026639847,0.863715410232544,0.13683954,0.8639611005783081,0.37065604,125.47087860107422,no_mtfm
MSTAGAT-Net,20260114_223841,state360,20,3,76.05742645263672,94.564064,191.92381300922509,118.04145,0.90207934,0.7955478,0.0030834975,0.8135571479797363,0.25962335,0.8137273788452148,0.46796137,141.43240356445312,no_pprm
MSTAGAT-Net,20260114_223305,state360,20,3,76.49614715576172,87.11111,172.25267028953425,113.68828,0.9271669,0.80056965,0.0032522809,0.8498172760009766,-0.46091992,0.8523877859115601,0.18945082,129.25576782226562,none
MSTAGAT-Net,20260114_224241,state360,20,5,97.96361541748048,119.77274,236.3064086096693,152.11757,0.8490503,0.63894135,0.0033348426,0.7173565030097961,-1.3621612,0.717844545841217,-0.5203675,178.5050506591797,no_agam
MSTAGAT-Net,20260114_224313,state360,20,5,91.3582000732422,105.62311,222.4046495129992,144.41138,0.86782515,0.6055608,0.0035172661,0.7496337890625,-0.9169545,0.7496567368507385,-0.37145993,166.6719512939453,no_mtfm
MSTAGAT-Net,20260114_224511,state360,20,5,104.05644989013672,124.52194,248.80542724185096,160.44743,0.8407874,0.58098733,0.0037424706,0.6866658926010132,-1.2839975,0.6867411136627197,-0.69367427,187.9589385986328,no_pprm
MSTAGAT-Net,20260114_224007,state360,20,5,87.49755859375,96.088844,200.28015534495677,135.10672,0.89356345,0.6977631,0.0021762745,0.7969682812690735,-1.0084419,0.7969812750816345,-0.33146247,150.14559936523438,none
MSTAGAT-Net,20260114_224942,state360,20,10,107.6622085571289,126.07584,245.12999580579688,159.76813,0.83594036,0.638834,0.003932753,0.6958548426628113,-2.6078477,0.6962710618972778,-1.1206721,190.7604522705078,no_agam
MSTAGAT-Net,20260114_225031,state360,20,10,117.63490295410156,134.87462,261.0489806769986,174.37561,0.82039833,0.5498465,0.0042352076,0.6550691723823547,-3.6675901,0.6551309823989868,-2.2798092,208.13424682617188,no_mtfm
MSTAGAT-Net,20260114_225229,state360,20,10,107.11823272705078,119.21541,229.13331101948052,154.8665,0.86527574,0.6040005,0.0044348217,0.7342554330825806,-2.4387667,0.736427903175354,-1.3047749,173.08831787109375,no_pprm
MSTAGAT-Net,20260114_224755,state360,20,10,119.75037384033205,137.19179,260.0697322354141,174.35403,0.8262323,0.5471706,0.0040539983,0.6576521396636963,-3.8976288,0.658719539642334,-2.3024814,204.3018341064453,none
MSTAGAT-Net,20260114_225627,state360,20,15,106.18395233154295,119.70216,233.9688898256561,154.40309,0.8596754,0.681065,0.0048940987,0.7229205965995789,-2.2092805,0.7270302772521973,-0.5606353,188.19973754882807,no_agam
MSTAGAT-Net,20260114_225709,state360,20,15,120.64861297607422,137.67203,255.24648014223428,173.31485,0.82370603,0.5197302,0.0045083365,0.6702327728271484,-3.2941759,0.6726863384246826,-2.165859,220.3119201660156,no_mtfm
MSTAGAT-Net,20260114_225944,state360,20,15,117.62179565429688,141.52084,266.6924727096736,175.23781,0.8099087,0.5608307,0.003932025,0.6399941444396973,-3.060885,0.6410741806030273,-1.8965987,218.78028869628903,no_pprm
MSTAGAT-Net,20260114_225503,state360,20,15,110.87057495117188,128.88622,245.9624669665069,164.53922,0.83497286,0.5870952,0.0047800187,0.693785548210144,-2.821461,0.6946630477905273,-1.5540441,196.81243896484372,none
