,MAE,RMSE,PCC,R2,MAE_CHANGE,RMSE_CHANGE,PCC_CHANGE,R2_CHANGE
none,842.74225,1358.3828620827046,0.478227278562144,0.0914353298444701,,,,
no_agam,705.84753,1193.399241662236,0.6138629452860277,0.2987337286248676,-16.243960712780215,-12.145590541941313,28.3621768987522,226.71586478991046
no_mtfm,677.63513,1180.0611742617414,0.605709572045549,0.314321566022668,-19.591650946656582,-13.127498351058126,26.657260929719033,243.7638017572895
no_pprm,728.59344,1236.9881264587789,0.6032930525729945,0.2465706626513881,-13.544925509549335,-8.936709893247658,26.15195318570658,169.6667284634949
