model,timestamp,dataset,window,horizon,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak
MSTAGAT-Net,20250502_203205,region785,20,5,436.09082,269.59897,789.2674610041896,660.5007,0.8439173953657993,0.7537502839956203,5.3684788942337044e-08,0.6932674368882734,0.4760432784213945,0.7065984010696411,0.5422042489051819,597.21954
MSTAGAT-Net,20250502_210339,region785,20,5,436.0908203125,269.5989685058594,789.2674610041896,660.5006713867188,0.8439173953657993,0.7537502839956203,5.3684788942337044e-08,0.6932674368882734,0.4760432784213945,0.7065984010696411,0.5422042489051819,597.2195434570312
MSTAGAT-Net,20250502_212051,region785,20,5,519.6231079101562,350.0105895996094,925.8640558958966,766.3201904296875,0.8419872168613249,0.7638151652448748,5.0568515062332164e-08,0.5779091648543594,0.3628757110487938,0.6752678155899048,0.5671270370483399,743.07568359375
MSTAGAT-Net,20250502_212407,region785,20,5,436.0908203125,269.5989685058594,789.2674610041896,660.5006713867188,0.8439173953657993,0.7537502839956203,5.3684788942337044e-08,0.6932674368882734,0.4760432784213945,0.7065984010696411,0.5422042489051819,597.2195434570312
MSTAGAT-Net,20250502_212815,region785,20,5,441.7070617675781,284.95880126953125,851.0518491842903,710.16552734375,0.8533845937780761,0.7392443261514501,4.32117372751236e-08,0.6433653584865519,0.4251057036739041,0.6914631724357605,0.5316972196102142,634.1285400390625
MSTAGAT-Net,20250502_213427,region785,20,5,436.0908203125,269.5989685058594,789.2674610041896,660.5006713867188,0.8439173953657993,0.7537502839956203,5.368478894233704e-08,0.6932674368882734,0.4760432784213945,0.7065984010696411,0.5422042489051819,597.2195434570312
