wis,wis_dispersion,wis_overprediction,wis_underprediction,cov50,cov90,cov95,model,dataset,horizon,seed,ablation,variant,split,n_test
104.01650195459408,90.22962646528447,4.769933787324923,4.854366310472999,0.546875,0.8973214285714286,0.9542410714285714,MSAGAT-Net,australia-covid,14,1000,none,with_adj.loggrowth.quant,test,112
131.40733512228263,90.4381438459213,32.582707504637725,0.6965595865564317,0.5569196428571429,0.9308035714285714,0.9587053571428571,MSAGAT-Net,australia-covid,14,123,none,with_adj.loggrowth.quant,test,112
148.5239645352321,96.95118596989444,42.658373856419544,0.802068814033677,0.5591517857142857,0.9419642857142857,0.9709821428571429,MSAGAT-Net,australia-covid,14,30,none,with_adj.loggrowth.quant,test,112
132.078321374125,90.80645125869152,31.93965778446623,1.056616944891418,0.6529017857142857,0.9430803571428571,0.9598214285714286,MSAGAT-Net,australia-covid,14,42,none,with_adj.loggrowth.quant,test,112
110.91270984181688,96.9151322977552,9.979202919309925,0.8797554131828667,0.5591517857142857,0.8984375,0.9598214285714286,MSAGAT-Net,australia-covid,14,45,none,with_adj.loggrowth.quant,test,112
86.82874469264671,31.291492814495818,1.163333160877922,48.50214227460186,0.35714285714285715,0.9263392857142857,0.9799107142857143,MSAGAT-Net,australia-covid,3,1000,none,with_adj.loggrowth.quant,test,112
23.638780272838005,17.611242110011233,4.459183435892883,0.7662827624412982,0.5089285714285714,0.9029017857142857,0.9665178571428571,MSAGAT-Net,australia-covid,3,123,none,with_adj.loggrowth.quant,test,112
23.79193898490584,20.74907697521781,1.270751949486479,1.2245719665487915,0.5089285714285714,0.9017857142857143,0.9754464285714286,MSAGAT-Net,australia-covid,3,30,none,with_adj.loggrowth.quant,test,112
43.04459832053673,23.51209707686001,16.242365408665645,0.8372364251625648,0.42410714285714285,0.9508928571428571,0.9866071428571429,MSAGAT-Net,australia-covid,3,42,none,with_adj.loggrowth.quant,test,112
29.64205211590704,20.21202148427383,7.197596191648417,0.7587515535585074,0.49776785714285715,0.9129464285714286,0.9776785714285714,MSAGAT-Net,australia-covid,3,45,none,with_adj.loggrowth.quant,test,112
103.10776637818323,62.25141449562552,32.51425208492054,0.7987741464575441,0.5669642857142857,0.8716517857142857,0.9709821428571429,MSAGAT-Net,australia-covid,7,1000,none,with_adj.loggrowth.quant,test,112
106.74638738723947,49.07058939695047,49.61742559184107,0.753880405312647,0.4955357142857143,0.9296875,0.9743303571428571,MSAGAT-Net,australia-covid,7,123,none,with_adj.loggrowth.quant,test,112
70.49798558651018,45.77271032934459,20.405086540599694,0.6162339705765618,0.49888392857142855,0.9040178571428571,0.9654017857142857,MSAGAT-Net,australia-covid,7,30,none,with_adj.loggrowth.quant,test,112
81.58475115243971,54.58032293564264,20.919092845391507,0.9456462069466618,0.5357142857142857,0.9196428571428571,0.96875,MSAGAT-Net,australia-covid,7,42,none,with_adj.loggrowth.quant,test,112
101.52591802810123,73.60580922971029,21.56875675301189,0.5668110167202743,0.7008928571428571,0.8604910714285714,0.9341517857142857,MSAGAT-Net,australia-covid,7,45,none,with_adj.loggrowth.quant,test,112
504.90721106205694,326.12722182048947,115.20509499705923,31.183562349709145,0.558966565349544,0.9525835866261398,0.9826747720364741,MSAGAT-Net,japan,10,1000,none,with_adj.loggrowth.quant,test,70
585.2059192533453,438.3065632880638,71.95754619430043,44.765231096344394,0.603951367781155,0.9480243161094225,0.9790273556231003,MSAGAT-Net,japan,10,123,none,with_adj.loggrowth.quant,test,70
498.29549089709764,344.29439326358414,89.1842065845217,34.74610959975804,0.5693009118541034,0.9443768996960487,0.9768996960486322,MSAGAT-Net,japan,10,30,none,with_adj.loggrowth.quant,test,70
477.0235532075881,251.97178173403907,161.24412171659498,32.03936184496771,0.4668693009118541,0.9416413373860182,0.9884498480243161,MSAGAT-Net,japan,10,42,none,with_adj.loggrowth.quant,test,70
461.4417887944757,275.193809489609,130.92301618062285,19.806299494523362,0.5416413373860183,0.9355623100303951,0.9729483282674772,MSAGAT-Net,japan,10,45,none,with_adj.loggrowth.quant,test,70
504.92476577582426,287.8453654951041,159.89170383587845,24.935478042051724,0.5443768996960486,0.9340425531914893,0.9699088145896656,MSAGAT-Net,japan,15,1000,none,with_adj.loggrowth.quant,test,70
538.3429020484864,373.0398702481034,106.6559097954977,27.832859443115307,0.6127659574468085,0.9768996960486322,0.9908814589665653,MSAGAT-Net,japan,15,123,none,with_adj.loggrowth.quant,test,70
579.8150611564517,413.06713517098416,102.73497378488062,32.388550856426306,0.5844984802431611,0.9349544072948328,0.9613981762917934,MSAGAT-Net,japan,15,30,none,with_adj.loggrowth.quant,test,70
573.9644681408739,426.8459424788636,96.03199989560005,19.97083464074642,0.6382978723404256,0.956838905775076,0.9802431610942249,MSAGAT-Net,japan,15,42,none,with_adj.loggrowth.quant,test,70
746.6729695979858,532.0479315279343,72.59160545290233,103.0034199507293,0.5957446808510638,0.9297872340425531,0.9632218844984802,MSAGAT-Net,japan,15,45,none,with_adj.loggrowth.quant,test,70
307.95788117926446,116.67044708556408,148.85461182961836,21.96289369697156,0.4848024316109423,0.9109422492401216,0.9586626139817629,MSAGAT-Net,japan,3,1000,none,with_adj.loggrowth.quant,test,70
339.1471311820679,148.0019366749075,106.18486251003664,62.967106948592665,0.45045592705167176,0.9045592705167174,0.9613981762917934,MSAGAT-Net,japan,3,123,none,with_adj.loggrowth.quant,test,70
270.6782156846597,116.72284056160419,95.61746103089317,39.97144669670874,0.43343465045592705,0.8820668693009118,0.9419452887537993,MSAGAT-Net,japan,3,30,none,with_adj.loggrowth.quant,test,70
283.0000953027411,121.57402535328269,119.55535265957803,23.138475046413678,0.45987841945288754,0.8957446808510638,0.9531914893617022,MSAGAT-Net,japan,3,42,none,with_adj.loggrowth.quant,test,70
444.0072744564507,164.82196941969494,106.9784069063217,143.42933642010843,0.3951367781155015,0.8498480243161094,0.9300911854103343,MSAGAT-Net,japan,3,45,none,with_adj.loggrowth.quant,test,70
329.2181465357713,172.7408184915755,114.64937014671774,20.236855178555487,0.48936170212765956,0.9088145896656535,0.9610942249240122,MSAGAT-Net,japan,5,1000,none,with_adj.loggrowth.quant,test,70
338.82280806387973,218.41537955487254,67.91605668646571,31.153606929014362,0.5042553191489362,0.9072948328267477,0.9598784194528875,MSAGAT-Net,japan,5,123,none,with_adj.loggrowth.quant,test,70
369.7340983573718,204.34384700769374,101.56568623728113,39.60202397302008,0.5051671732522797,0.9246200607902736,0.9689969604863222,MSAGAT-Net,japan,5,30,none,with_adj.loggrowth.quant,test,70
329.8203118366114,200.7026784703684,79.15540524054127,28.796712382420754,0.5252279635258359,0.9234042553191489,0.9668693009118541,MSAGAT-Net,japan,5,42,none,with_adj.loggrowth.quant,test,70
382.10210433072893,244.5386849223327,62.856944133209176,52.323241127507764,0.4987841945288754,0.9127659574468086,0.9586626139817629,MSAGAT-Net,japan,5,45,none,with_adj.loggrowth.quant,test,70
50.12244188408959,11.872115537435228,21.637674087826255,13.430982955204344,0.2882424475166411,0.7597606246799795,0.9370999743983615,MSAGAT-Net,ltla_timeseries,14,1000,none,with_adj.loggrowth.quant,test,168
46.62867370620446,13.91801093933734,21.663770041845478,8.049691650482464,0.35144649257552485,0.8196524577572964,0.8691436251920123,MSAGAT-Net,ltla_timeseries,14,123,none,with_adj.loggrowth.quant,test,168
55.552837984034305,11.919176304591284,16.73488916088541,23.343163471064127,0.22204621095750127,0.7311347926267281,0.9198508704557091,MSAGAT-Net,ltla_timeseries,14,30,none,with_adj.loggrowth.quant,test,168
41.02214921752172,9.766733241357937,24.915991212465663,3.6723688615840935,0.33442140296979006,0.8655593958013312,0.9473406298003072,MSAGAT-Net,ltla_timeseries,14,42,none,with_adj.loggrowth.quant,test,168
46.980845834311545,13.013440329537586,20.8684888478395,10.092310299933116,0.318868407578085,0.809507808499744,0.8671594982078853,MSAGAT-Net,ltla_timeseries,14,45,none,with_adj.loggrowth.quant,test,168
15.695608843996258,2.71648130101649,6.908498425064286,5.11279220932653,0.2318868407578085,0.7756656426011265,0.9000576036866359,MSAGAT-Net,ltla_timeseries,3,1000,none,with_adj.loggrowth.quant,test,168
16.08455358847403,2.1794792156887604,8.541041788828311,4.386014375388895,0.21287762416794676,0.6997087813620072,0.8482142857142857,MSAGAT-Net,ltla_timeseries,3,123,none,with_adj.loggrowth.quant,test,168
17.788676450480995,2.4493900379322895,9.101355731958005,5.182427056469627,0.2368951612903226,0.5415226574500768,0.8743759600614439,MSAGAT-Net,ltla_timeseries,3,30,none,with_adj.loggrowth.quant,test,168
