dataset,horizon,rmse,rmse_persistence,sd_pred_over_true,bias,bias_pct_of_level,worst10pct_share,rmse_q1,rmse_persist_q1,level_q1,rmse_q2,rmse_persist_q2,level_q2,rmse_q3,rmse_persist_q3,level_q3,rmse_q4,rmse_persist_q4,level_q4,val_max,test_max,val_mean,test_mean,test_over_val_max,test_over_val_mean,test_trend
australia-covid,3,203.35227191220483,78.51014485931188,0.7190895391284314,-53.009065131457255,-6.836886188024535,0.5657197234795991,146.3482475097517,11.337748976712511,694.2455444335938,92.81118199274684,5.611288917187921,700.3705444335938,48.192576282220514,20.509589203068455,726.875,364.76613947382396,155.16023014571363,979.8660888671875,681.375,1282.0,647.6948198198198,775.3392857142857,1.8814896349293708,1.1970750143253808,1.4114114114114116
australia-covid,7,394.4854524949933,166.3297817843483,0.458592332730855,-113.29860585801569,-14.612777486117658,0.564383299039301,226.00245725125183,22.98213158884861,694.2455444335938,171.50811889167437,11.263083915103296,700.3705444335938,225.7277197841357,43.2425224673852,726.875,700.7352851914969,328.84256727608664,979.8660888671875,681.375,1282.0,647.6948198198198,775.3392857142857,1.8814896349293708,1.1970750143253808,1.4114114114114116
australia-covid,14,581.4248815962936,276.68890547831955,0.3133292692548993,-181.73884261499293,-23.439911264623582,0.4551776886075446,356.1794078225447,41.15063220808867,694.2455444335938,356.05243774609613,22.911996790867157,700.3705444335938,400.1724444025017,66.38843714279683,726.875,968.733439866833,547.3584227403728,979.8660888671875,681.375,1282.0,647.6948198198198,775.3392857142857,1.8814896349293708,1.1970750143253808,1.4114114114114116
ltla_timeseries,3,50.41966813687402,51.22005596330688,0.9450684964435268,-2.5619004183604788,-2.019024973600308,0.5105563036163101,86.27296620617575,80.6634090653001,211.12765502929688,26.222664477098387,28.82551234977288,61.17741394042969,41.940787092441724,52.76225747456731,150.90232849121094,16.69997867980952,19.303496923142582,84.34461975097656,533.7554723502304,340.4544610855095,189.12394202752787,126.888007689635,0.6378472516383231,0.6709251421544812,0.39949585783277064
ltla_timeseries,7,86.20581093189759,88.95201738879744,0.6433147913001505,-21.538372707344816,-16.974318000490513,0.44612066738402667,134.31018376006222,127.6304989249859,211.12765502929688,46.53242087891081,58.55769503474231,61.17741394042969,88.19916632811457,103.5609617476257,150.90232849121094,41.739462840531296,34.73362763132847,84.34461975097656,533.7554723502304,340.4544610855095,189.12394202752787,126.888007689635,0.6378472516383231,0.6709251421544812,0.39949585783277064
ltla_timeseries,14,117.00988453701113,156.14654530679653,0.46693292508920614,-37.41516999747362,-29.486767742808823,0.4317889808612367,182.48210788148006,235.35995334581895,211.12765502929688,62.001128888072316,120.20667913768571,61.17741394042969,125.10962692652575,160.8047925844209,150.90232849121094,44.37312122784205,42.7181434359527,84.34461975097656,533.7554723502304,340.4544610855095,189.12394202752787,126.888007689635,0.6378472516383231,0.6709251421544812,0.39949585783277064
nhs_timeseries,3,2.2215959104135607,2.989217295745774,1.036589615010341,0.5105095741659379,1.6687148995834806,0.29860116954648236,2.5824253252839897,3.0554640423022708,41.312923431396484,1.5761636820110745,2.5218962874417015,23.256689071655273,2.498097127102408,3.406048349462592,31.72063446044922,2.0820435875979157,2.9040558757386354,25.979127883911133,122.79591836734694,46.36734693877552,90.06658305780412,30.592976855546688,0.3775968090410504,0.339670672705684,0.6275671981266316
nhs_timeseries,7,5.298948522104672,5.980692728295235,1.1102559949969335,0.29281917901773596,0.957145079421903,0.29153577180824775,5.975471037732965,5.521979672801393,41.312923431396484,3.316008092456151,5.354785553665916,23.256689071655273,6.381722613087997,7.005846816842082,31.72063446044922,4.981398341320316,5.899615204953987,25.979127883911133,122.79591836734694,46.36734693877552,90.06658305780412,30.592976855546688,0.3775968090410504,0.339670672705684,0.6275671981266316
nhs_timeseries,14,10.719046167735229,9.398386731891991,1.0234608261429052,3.9601817072531937,12.94474100852676,0.22805335541987937,8.025145285945246,7.649471677407429,41.312923431396484,12.243660373810444,9.226407528287837,23.256689071655273,9.139735283691934,10.75247889622781,31.72063446044922,12.759765428329915,9.705264281967375,25.979127883911133,122.79591836734694,46.36734693877552,90.06658305780412,30.592976855546688,0.3775968090410504,0.339670672705684,0.6275671981266316
japan,3,1328.714578221142,2323.4285260219017,0.6695855662587835,-222.74075423942872,-21.12938236481023,0.854185968990071,1925.8653617420814,2987.2044372493096,2280.327392578125,73.33323485258592,244.63064525442178,53.770687103271484,25.697715915465537,33.19806289051136,23.082603454589844,1826.5124434626648,3565.8960687937206,1846.2415771484375,4159.595744680851,6029.531914893617,473.35531914893613,1054.17537993921,1.4495475726466873,2.2270276413805865,0.7713557985534466
