,MAE,RMSE,PCC,R2,MAE_CHANGE,RMSE_CHANGE,PCC_CHANGE,R2_CHANGE
none,462.10046,1337.8910176094314,0.8269026634215679,0.5749187790096215,,,,
no_agam,613.5261,1647.2048294003998,0.6405113388692238,0.3556443168476448,32.76898707263785,23.119507323074497,-22.54090267179595,-38.14007650606018
no_mtfm,470.35776,1347.025148243343,0.8181580070941118,0.569094692946559,1.7869058169732155,0.6827260601713745,-1.0575194293452133,-1.013027626805879
no_pprm,445.68005,1289.6608081197164,0.8512983616880017,0.6050142221953361,-3.5534286202614913,-3.6049430674774703,2.9502502949366387,5.234729545199095
