dataset,horizon,seed,method,wis,wis_dispersion,wis_overprediction,wis_underprediction,cov50,cov90,cov95
australia-covid,14,1000,raw,104.01650195459408,90.22962646528447,4.769933787324923,4.854366310472999,0.546875,0.8973214285714286,0.9542410714285714
australia-covid,14,1000,identity,64.37477694397374,49.988938188055386,5.212766943771322,5.010496420635385,0.6082589285714286,0.9241071428571429,0.9698660714285714
australia-covid,14,1000,adjacency,80.95582761328829,65.23295692966396,5.618513388310483,5.813675487066925,0.6194196428571429,0.9296875,0.9765625
australia-covid,14,1000,uniform,82.04407874913532,66.31746989689553,5.681645687166254,5.756531094472787,0.6071428571428571,0.9274553571428571,0.9787946428571429
australia-covid,14,123,raw,131.40733512228263,90.4381438459213,32.582707504637725,0.6965595865564317,0.5569196428571429,0.9308035714285714,0.9587053571428571
australia-covid,14,123,identity,85.50114204769817,31.797434621996338,47.00130682731891,0.6282603619562357,0.5669642857142857,0.9363839285714286,0.9709821428571429
australia-covid,14,123,adjacency,115.95761268713633,58.907449708327604,48.9948587485109,0.6466069898296217,0.5959821428571429,0.9397321428571429,0.9765625
australia-covid,14,123,uniform,119.05497773512404,63.052252331706555,47.79497158532001,0.6589162813858217,0.5736607142857143,0.9475446428571429,0.9765625
australia-covid,14,30,raw,148.5239645352321,96.95118596989444,42.658373856419544,0.802068814033677,0.5591517857142857,0.9419642857142857,0.9709821428571429
australia-covid,14,30,identity,93.97369386547756,39.513566497981216,47.68419537534764,0.7414335036962669,0.5892857142857143,0.9408482142857143,0.9743303571428571
australia-covid,14,30,adjacency,137.01440983701,78.4590903002637,49.7469642569444,0.7572071249510005,0.5982142857142857,0.9408482142857143,0.9743303571428571
australia-covid,14,30,uniform,141.10414241953185,83.20674458365117,48.992185716546196,0.7796114844657619,0.5892857142857143,0.9508928571428571,0.9787946428571429
australia-covid,14,30,attention,141.37416719694153,83.51542731513923,48.95623479076655,0.7769231091004721,0.5904017857142857,0.9497767857142857,0.9787946428571429
australia-covid,14,42,raw,132.078321374125,90.80645125869152,31.93965778446623,1.056616944891418,0.6529017857142857,0.9430803571428571,0.9598214285714286
australia-covid,14,42,identity,65.42092539489563,28.370041817334652,31.333245781383344,0.9743938774842282,0.6049107142857143,0.9408482142857143,0.9709821428571429
australia-covid,14,42,adjacency,103.19564920867822,59.51389703067876,36.63114734047225,0.9859633761001115,0.6171875,0.9419642857142857,0.9765625
australia-covid,14,42,uniform,107.51052442450597,63.57062757765353,36.563250692520775,1.015220932512087,0.6171875,0.9520089285714286,0.9765625
australia-covid,14,42,attention,108.84974721372753,64.88250016529703,36.46209315642691,1.0114411792793074,0.6194196428571429,0.9520089285714286,0.9765625
australia-covid,14,45,raw,110.91270984181688,96.9151322977552,9.979202919309925,0.8797554131828667,0.5591517857142857,0.8984375,0.9598214285714286
australia-covid,14,45,identity,59.648212771966875,37.33711835234397,16.746206897478668,2.4602004773567736,0.6171875,0.9207589285714286,0.9609375
australia-covid,14,45,adjacency,79.08008767126151,56.407805723461856,17.118253779314134,2.475740402821244,0.6238839285714286,0.9241071428571429,0.9642857142857143
australia-covid,14,45,uniform,78.93889333876689,56.27780533317644,17.103292163687048,2.47511997353864,0.5970982142857143,0.9241071428571429,0.96875
australia-covid,14,45,attention,78.89599257634161,56.23925296586002,17.098904731122325,2.474792000253378,0.5993303571428571,0.9241071428571429,0.96875
