model,timestamp,dataset,window,horizon,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak
MSTAGAT-Net,20250503_131854,australia-covid,20,7,274.4197,636.0405,748.4994154974338,297.18234,0.9897606002100166,0.5022177542721771,0.0196585375,0.8505238329723221,-366.7575802178489,0.863216757774353,-8.972859755158424,1029.4323
MSTAGAT-Net,20250503_131957,australia-covid,20,7,213.16001892089844,495.67779541015625,620.4266928896596,244.6793212890625,0.9871251773995954,0.5815175017377006,0.0143105015625,0.8973001163602204,-45.45895895886513,0.90571129322052,-0.7692947536706924,804.379638671875
