MAE,RMSE,PCC,R2,MAE_CHANGE,RMSE_CHANGE,PCC_CHANGE,R2_CHANGE,dataset,window,horizon,ablation
131.66464233398438,365.5247084671568,0.9972374,0.9643530249595642,-4.518171512163491,-5.462441625796585,-0.0356027110346221,0.44145008241221,australia-covid,20,3,no_agam
155.52435302734375,414.1206232790152,0.9969619,0.9542445540428162,12.78464239298402,7.1061728258490895,-0.0632191957885227,-0.6113899571953154,australia-covid,20,3,no_mtfm
260.8668518066406,744.5790757199668,0.9830741,0.852085530757904,89.17792628928466,92.57436283930868,-1.455350654826956,-11.251684716647889,australia-covid,20,3,no_pprm
137.8949737548828,386.6449639203904,0.99759257,0.960114598274231,,,,,australia-covid,20,3,none
203.20985412597656,605.799471772632,0.9914173,0.902085542678833,-11.627703736941548,-6.229185068937918,0.3219982449522103,1.5125244634408976,australia-covid,20,7,no_agam
257.190673828125,676.0071652726767,0.9894424,0.8780753016471863,11.847580036864366,4.638161207653599,0.1221571544911651,-1.1893702735706568,australia-covid,20,7,no_mtfm
294.4425964355469,839.4420766199416,0.9837793,0.8119945526123047,28.047768532599257,29.936012294210567,-0.4508946857994895,-8.62549837406739,australia-covid,20,7,no_pprm
229.9474639892578,646.0426649997661,0.9882352,0.8886445760726929,,,,,australia-covid,20,7,none
320.76641845703125,761.8161277499971,0.9660737,0.84515780210495,23.387862085675472,6.405383636991292,-1.746890414441894,-2.0945817741218726,australia-covid,20,14,no_agam
309.7910461425781,792.766950307592,0.98246956,0.8323204517364502,19.16601201798801,10.728387611517396,-0.0793735062293407,-3.5816959599103706,australia-covid,20,14,no_mtfm
260.6171264648437,716.3842369845947,0.980836,0.8630754947662354,0.2504882278280487,0.0597608677225547,-0.2455123315535129,-0.018946680560899,australia-covid,20,14,no_pprm
259.9659423828125,715.956375242235,0.98325,0.863239049911499,,,,,australia-covid,20,14,none
352.39459228515625,1148.6856075532592,0.8670018,0.6866477727890015,8.889772367435626,9.259498727918334,-2.3022588301897318,-6.896354971993029,japan,20,3,no_agam
332.6778564453125,1111.6722201260586,0.87776124,0.7065163254737854,2.7973097575322887,5.738897329305736,-1.0898357599583903,-4.202346850666449,japan,20,3,no_mtfm
349.64630126953125,1080.1286381723244,0.8967883,0.7229351997375488,8.040551665295242,2.7385672740793594,1.054220668877684,-1.9760860197256231,japan,20,3,no_pprm
323.62506103515625,1051.3370653601062,0.8874328,0.73750901222229,,,,,japan,20,3,none
374.0599365234375,1129.7862076516956,0.87300146,0.6968741416931152,8.91710915848772,4.129613084475213,-2.8509028146205253,-3.271088966445227,japan,20,5,no_agam
432.2684020996094,1232.0614838554122,0.8501831,0.6395083665847778,25.865991356436627,13.556073477665043,-5.390168984061959,-11.233687411185452,japan,20,5,no_mtfm
353.7760009765625,1115.6060572621502,0.8941034,0.7044355869293213,3.010922993094177,2.822663536372528,-0.5026428015616181,-2.221530201413355,japan,20,5,no_pprm
343.4354248046875,1084.9807025933687,0.89862025,0.7204403877258301,,,,,japan,20,5,none
506.0746765136719,1426.664816976994,0.7752837,0.5166358947753906,9.04841028422459,3.670907857108771,-4.4777621822059945,-6.11075918927608,japan,20,10,no_agam
458.6711730957031,1339.6628773687803,0.83973503,0.5737920999526978,-1.1660440829514942,-2.6512288895061187,3.463247375886255,4.276348570730368,japan,20,10,no_mtfm
448.9705200195313,1314.2991953889343,0.82462275,0.5897780060768127,-3.2563300541104003,-4.4943218894591865,1.6012724573769397,7.181498222241094,japan,20,10,no_pprm
464.0825805664063,1376.1477028284428,0.8116264,0.5502610206604004,,,,,japan,20,10,none
497.0767517089844,1309.7472084337496,0.7931349,0.5926146507263184,-12.399650549694751,-12.355161342111316,7.849891957683803,26.17894614741672,japan,20,15,no_agam
534.76123046875,1475.4138402495755,0.72222114,0.4830385446548462,-5.75847592855544,-1.2691860309996987,-1.7929082195787442,2.848106165498802,japan,20,15,no_mtfm
458.6896057128906,1307.9541754205306,0.8344848,0.5937292575836182,-19.16465694377053,-12.475146395822382,13.472620509234158,26.4162671762681,japan,20,15,no_pprm
567.4369506835938,1494.3803063477517,0.7354063,0.469662070274353,,,,,japan,20,15,none
47.51989364624024,104.31235020959886,0.90933174,0.7693102359771729,-0.1245130820916284,-1.1034403281863658,0.1256939350369677,0.6774395953334297,ltla_timeseries,20,3,no_agam
49.39236831665039,105.32537940532188,0.90459955,0.7648078203201294,3.810982246262503,-0.1430065722331605,-0.3953632179690903,0.0882212811258876,ltla_timeseries,20,3,no_mtfm
87.12708282470703,179.36094783808153,0.66309386,0.3179556131362915,83.12035556382257,70.0487108671204,-26.98733591267555,-58.39005444290484,ltla_timeseries,20,3,no_pprm
47.57913589477539,105.4762173282442,0.9081902,0.7641336917877197,,,,,ltla_timeseries,20,3,none
79.09681701660156,159.89097848221456,0.75369054,0.4579931497573852,-7.538894989614892,-2.4834468729129555,6.238793213650793,6.501337807105168,ltla_timeseries,20,7,no_agam
87.25193786621094,167.40723293999278,0.71540153,0.4058374166488647,1.9941243364327084,2.100671844142522,0.8416467724265023,-5.626912044033992,ltla_timeseries,20,7,no_mtfm
95.62128448486328,191.94428716427063,0.65883905,0.2188988924026489,11.77756526064974,17.065674713958384,-7.131293443024862,-49.09743759764662,ltla_timeseries,20,7,no_pprm
85.5460433959961,163.96291024954394,0.70943063,0.4300351142883301,,,,,ltla_timeseries,20,7,none
109.39509582519533,206.8492714363529,0.58305216,0.0928797721862793,1.3192041996218178,3.565049410174046,11.361526709019229,-39.78891824658559,ltla_timeseries,20,14,no_agam
