,MAE,RMSE,PCC,R2,MAE_CHANGE,RMSE_CHANGE,PCC_CHANGE,R2_CHANGE
none,40.92973,191.2107190052378,0.2285716617246216,-0.1210385732688568,,,,
no_agam,15.521582,168.05989678162368,0.3896816417238789,0.1339871936560639,-62.077487440058846,-12.107491851949968,70.48554435123252,-210.69792879865244
no_mtfm,42.318127,206.6636098984289,0.1908490420268709,-0.3095562367039253,3.392147956998489,8.081602837740387,-16.50362928331778,155.75007069549957
no_pprm,66.68661,217.4850928799489,0.0851877876723378,-0.4502909512411335,62.92951358340258,13.74105699272611,-62.73038091004901,272.0226858928064
