model,timestamp,dataset,window,horizon,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak
MSTAGAT-Net,20250425_224129,region785,20,15,842.74225,490.85687,1358.3828620827046,1183.1906,0.478227278562144,0.2246294493735444,2.161545753479004e-07,0.0914353298444701,-1.201458976380244,0.0925968885421752,-0.9291870653629304,962.9897
MSTAGAT-Net,20250425_225521,region785,20,15,663.5590209960938,428.7106628417969,1212.512319525043,1000.3287963867188,0.6825389866001914,0.4483032178427099,1.2111580371856689e-07,0.2760913636751505,-0.1073325660100801,0.3741552829742431,0.1269794642925262,933.6704711914062
MSTAGAT-Net,20250425_231504,region785,20,15,842.7422485351562,490.85687255859375,1358.3828620827046,1183.1905517578125,0.478227278562144,0.2246294493735444,2.161545753479004e-07,0.0914353298444701,-1.201458976380244,0.0925968885421752,-0.9291870653629304,962.9896850585938
MSTAGAT-Net,20250429_005026,region785,20,15,762.8550415039062,464.7884521484375,1289.1231031208772,1098.585693359375,0.4791357061360611,0.1472060346180988,1.6297165155410766e-07,0.1817231648115592,-0.5423632899694991,0.2098556160926818,-0.3389831662178039,942.63427734375
MSTAGAT-Net,20250429_012045,region785,20,15,762.8550415039062,464.7884521484375,1289.1231031208772,1098.585693359375,0.47913570613606116,0.14720603461809886,1.6297165155410766e-07,0.18172316481155926,-0.5423632899694991,0.20985561609268188,-0.33898316621780394,942.63427734375
