model,timestamp,loss,mae,std_mae,rmse,rmse_states,pcc,pcc_states,r2,r2_states,peak_mae,dataset,window,horizon
MSAGATNet,20250422_184535,8.161649855255719e-05,1221.8501,982.50745,2016.312103817264,1532.402,0.3654920178288579,0.3208627073818713,0.034514005873046,-0.0693553119426275,487.11026,japan,20,5
MSAGATNet,20250422_185127,2.8047037795431377e-05,415.1265563964844,385.6684875488281,1188.9048006463763,853.8102416992188,0.8388045639646102,0.864800879819068,0.6643206788951161,0.6975966412645338,313.915771484375,japan,20,5
MSAGATNet,20250422_185555,2.1293303309331187e-05,364.9938659667969,341.7424621582031,1109.607194010565,798.0517578125,0.8713876414989565,0.8911407916731945,0.7076056311144993,0.734909425185793,302.1625671386719,japan,20,5
MSAGATNet,20250422_190101,2.1293303309331187e-05,364.9938659667969,341.7424621582031,1109.607194010565,798.0517578125,0.8713876414989565,0.8911407916731945,0.7076056311144993,0.734909425185793,302.1625671386719,japan,20,5
