model,timestamp,dataset,window,horizon,mae,std_MAE,rmse,rmse_states,pcc,pcc_states,MAPE,R2,R2_states,Var,Vars,Peak
MSTAGAT-Net,20250428_183056,japan,20,15,540.38763,447.9733,1396.4057880859705,1038.9924,0.7710083082148247,0.7780623523670425,0.05600918125,0.5369224499206215,0.5252202059185337,0.5388467311859131,0.5355435533726469,1306.3347
MSTAGAT-Net,20250428_184418,japan,20,15,504.5740661621094,413.072509765625,1369.821886231929,1017.4276733398438,0.8058030079745152,0.8099005979364114,0.038479225,0.5543861729296797,0.5462488266570653,0.5614773035049438,0.5636293406182147,1300.5869140625
