model,dataset,horizon,mae,rmse,pcc,r2
lstnet,state360,15,151.2299,379.8738,0.7498,0.416
lstnet,australia-covid,3,94.8577,366.9164,0.9835,0.9671
lstnet,australia-covid,7,99.5260,270.4913,0.9937,0.9817
lstnet,australia-covid,14,96.5624,297.5045,0.9922,0.9772
lstnet,ltla_timeseries,3,29.8623,58.8566,0.9232,0.8469
lstnet,ltla_timeseries,7,71.3306,131.3638,0.5839,0.2329
lstnet,ltla_timeseries,14,90.7439,156.5315,0.3613,-0.0733
lstnet,nhs_timeseries,3,3.9979,5.3709,0.9765,0.9477
lstnet,nhs_timeseries,7,8.2052,10.667,0.9058,0.7938
lstnet,nhs_timeseries,14,13.1336,17.9311,0.6691,0.4169
cnnrnn_res,japan,3,932.1405,2289.444,0.4449,0.1467
cnnrnn_res,japan,5,1067.7773,2653.0081,0.1016,-0.1162
cnnrnn_res,japan,10,1042.6996,2709.7916,0.2547,-0.1442
cnnrnn_res,japan,15,713.2731,1955.5081,0.6079,0.2485
cnnrnn_res,region785,3,506.7528,942.4291,0.8188,0.6338
cnnrnn_res,region785,5,651.1556,1156.8309,0.6959,0.4531
cnnrnn_res,region785,10,777.3249,1381.374,0.583,0.2334
cnnrnn_res,region785,15,715.9892,1277.1428,0.6318,0.3292
cnnrnn_res,state360,3,115.9200,288.3686,0.8006,0.6179
cnnrnn_res,state360,5,125.4670,327.8333,0.7443,0.514
cnnrnn_res,state360,10,126.2614,312.92,0.8165,0.5791
cnnrnn_res,state360,15,144.4480,359.7766,0.7646,0.4762
cnnrnn_res,australia-covid,3,68.5418,202.7386,0.9956,0.99
cnnrnn_res,australia-covid,7,97.1282,318.9936,0.99,0.9746
cnnrnn_res,australia-covid,14,111.9006,362.3121,0.9859,0.9662
cnnrnn_res,ltla_timeseries,3,63.5545,121.1283,0.6119,0.3514
cnnrnn_res,ltla_timeseries,7,73.0681,131.9863,0.515,0.2256
cnnrnn_res,ltla_timeseries,14,83.1168,141.9148,0.4508,0.1178
cnnrnn_res,nhs_timeseries,3,3.6048,4.7214,0.98,0.9596
cnnrnn_res,nhs_timeseries,7,7.4425,9.7729,0.9422,0.8269
cnnrnn_res,nhs_timeseries,14,10.6678,13.9732,0.821,0.6459
dcrnn,region785,5,782.3358,1416.707,0.6823,0.1797
dcrnn,ltla_timeseries,14,84.9814,145.073,0.4402,0.0781
dcrnn,japan,3,883.5330,2345.3335,0.4235,0.1046
dcrnn,region785,10,992.9838,1694.7133,0.5993,-0.1539
dcrnn,region785,10,984.3200,1684.2144,0.5989,-0.1396
dcrnn,japan,5,1014.1064,2627.1113,0.2089,-0.0945
dcrnn,region785,15,1017.4594,1708.6171,0.6742,-0.2007
dcrnn,nhs_timeseries,3,TIMEOUT,,,
dcrnn,japan,10,993.3547,2581.8615,0.5394,-0.0387
dcrnn,region785,15,1014.2313,1703.9881,0.679,-0.1942
dcrnn,state360,3,96.8683,250.9759,0.8796,0.7105
dcrnn,nhs_timeseries,7,7.3249,9.7743,0.914,0.8269
dcrnn,japan,15,818.6664,2297.9987,0.5048,-0.0378
dcrnn,state360,3,88.5005,235.2445,0.8993,0.7457
dcrnn,state360,5,120.9765,312.4711,0.8174,0.5585
dcrnn,nhs_timeseries,14,12.2371,15.7017,0.8301,0.5529
lstnet,japan,3,931.9228,2359.9689,0.3924,0.0933
lstnet,japan,5,1062.7936,2597.68,0.1842,-0.0701
lstnet,japan,10,929.2720,2475.6155,0.4862,0.045
lstnet,japan,15,711.6213,2000.8812,0.5728,0.2132
lstnet,region785,3,505.8230,974.3826,0.8078,0.6086
lstnet,region785,5,616.4246,1160.4514,0.7365,0.4496
lstnet,region785,10,706.5196,1223.6654,0.6357,0.3984
lstnet,region785,15,658.5958,1142.5669,0.683,0.4631
lstnet,state360,3,106.3353,246.7724,0.8552,0.7202
lstnet,state360,5,137.6086,310.237,0.7517,0.5648
lstnet,state360,10,137.5601,354.2417,0.7765,0.4606
lstnet,state360,15,152.1578,381.9656,0.7503,0.4095
lstnet,australia-covid,3,100.5076,389.9479,0.9814,0.9628
lstnet,australia-covid,7,88.2563,248.453,0.9942,0.9846
lstnet,australia-covid,14,98.9787,298.686,0.9919,0.977
lstnet,ltla_timeseries,3,28.6589,57.5405,0.9265,0.8536
dcrnn,state360,5,114.4131,299.6035,0.8416,0.5941
lstnet,ltla_timeseries,7,62.0516,114.7993,0.6625,0.4142
lstnet,ltla_timeseries,14,85.4162,148.5683,0.43,0.0331
lstnet,nhs_timeseries,3,2.7279,3.6605,0.9878,0.9757
lstnet,nhs_timeseries,7,7.8017,10.204,0.9069,0.8113
lstnet,nhs_timeseries,14,14.8785,21.0852,0.5499,0.1937
cnnrnn_res,japan,3,1152.2328,2518.1555,0.3476,-0.0323
cnnrnn_res,japan,5,1071.6646,2654.3521,0.1023,-0.1173
cnnrnn_res,japan,10,1043.9612,2715.9571,0.2212,-0.1494
cnnrnn_res,japan,15,709.5680,1942.7526,0.6113,0.2583
cnnrnn_res,region785,3,458.9883,874.4402,0.8335,0.6848
cnnrnn_res,region785,5,651.1086,1153.5411,0.6955,0.4562
cnnrnn_res,region785,10,777.9767,1372.9881,0.5786,0.2426
dcrnn,state360,10,143.2567,360.1098,0.7987,0.4425
cnnrnn_res,region785,15,722.8156,1297.0268,0.6275,0.3081
cnnrnn_res,state360,3,115.4504,294.7402,0.797,0.6008
cnnrnn_res,state360,5,128.5800,336.495,0.7255,0.488
cnnrnn_res,state360,10,124.4324,313.4691,0.8083,0.5776
cnnrnn_res,state360,15,143.9357,359.9338,0.7603,0.4757
cnnrnn_res,australia-covid,3,42.8662,153.1336,0.9979,0.9943
cnnrnn_res,australia-covid,7,87.6668,300.2855,0.9905,0.9775
cnnrnn_res,australia-covid,14,115.8370,351.821,0.9859,0.9681
cnnrnn_res,ltla_timeseries,3,64.4957,122.6079,0.5976,0.3354
cnnrnn_res,ltla_timeseries,7,72.8158,130.7094,0.5281,0.2405
cnnrnn_res,ltla_timeseries,14,79.6669,139.8112,0.4486,0.1437
cnnrnn_res,nhs_timeseries,3,3.1785,4.2001,0.984,0.968
dcrnn,region785,3,TIMEOUT,,,
cnnrnn_res,nhs_timeseries,7,8.9639,11.8654,0.8847,0.7449
cnnrnn_res,nhs_timeseries,14,10.0038,12.966,0.8442,0.6951
dcrnn,state360,10,137.8761,348.1289,0.8221,0.479
dcrnn,state360,15,150.1449,370.2044,0.7957,0.4453
dcrnn,region785,5,782.3358,1416.707,0.6823,0.1797
dcrnn,region785,10,988.1636,1688.8039,0.5934,-0.1459
dcrnn,australia-covid,3,108.6605,283.0601,0.9904,0.9804
dcrnn,state360,15,148.8266,366.5773,0.8009,0.4562
dcrnn,australia-covid,3,104.1252,274.1584,0.991,0.9816
dcrnn,australia-covid,7,142.1638,360.3569,0.9845,0.9675
dcrnn,region785,15,1014.2313,1703.9881,0.679,-0.1942
dcrnn,australia-covid,14,682.1016,1807.2354,0.8120,0.1580
dcrnn,state360,3,118.3788,293.3114,0.8363,0.6047
dcrnn,australia-covid,7,638.5875,1607.0023,0.8224,0.3544
msagat,japan,3,504.9486,1385.1425,0.8359,0.6796
msagat,japan,5,558.3005,1436.8028,0.8517,0.6552
msagat,japan,10,651.9993,1584.0939,0.8311,0.5809
msagat,japan,15,648.5982,1549.6662,0.8163,0.5989
msagat,region785,3,332.1255,658.7961,0.9069,0.8195
msagat,region785,5,463.4590,901.9653,0.8164,0.6617
msagat,region785,10,551.7392,961.8853,0.7998,0.6152
msagat,region785,15,801.4986,1333.5487,0.5622,0.2605
msagat,state360,3,66.1297,162.9057,0.9362,0.8763
msagat,state360,5,83.3224,196.6932,0.9071,0.8197
msagat,state360,10,95.1393,225.8864,0.8852,0.7622
msagat,state360,15,102.3393,245.1903,0.8755,0.7198
msagat,australia-covid,3,67.6421,225.9874,0.9982,0.9877
msagat,australia-covid,7,111.9003,371.6394,0.9935,0.9667
msagat,australia-covid,14,222.7588,649.5256,0.9857,0.8981
msagat,ltla_timeseries,3,24.1340,49.7820,0.9451,0.8910
msagat,ltla_timeseries,7,44.5667,83.0242,0.8418,0.6969
msagat,ltla_timeseries,14,64.2648,115.5720,0.6528,0.4126
msagat,nhs_timeseries,3,2.7341,3.4515,0.9934,0.9784
msagat,nhs_timeseries,7,4.6899,6.3149,0.9648,0.9278
msagat,nhs_timeseries,14,10.3781,13.9299,0.8686,0.6485
