,MAE,RMSE,PCC,R2,MAE_CHANGE,RMSE_CHANGE,PCC_CHANGE,R2_CHANGE
none,107.852974,243.7121765525884,0.8382454590789875,0.6993629785004278,,,,
no_agam,110.21198,255.5969345840243,0.8288719961275187,0.6693265610377441,2.187242421335543,4.876554876966269,-1.1182241251587304,-4.2948252032281875
no_mtfm,108.42178,239.64491962067547,0.8430977297471027,0.7093137685712496,0.5273901858283435,-1.6688771933540631,0.578860358330673,1.4228362633890397
no_pprm,115.36378,268.89331934337827,0.8044650053833302,0.634027830117946,6.963930359491062,10.332328547136116,-4.02989999287001,-9.342094218737934
