,MAE,RMSE,PCC,R2,MAE_CHANGE,RMSE_CHANGE,PCC_CHANGE,R2_CHANGE
none,510.2231,1338.21546284595,0.7777359026547751,0.5747125895881366,,,,
no_agam,498.7348,1351.2765261041131,0.8098887855690757,0.5663704216575263,-2.25162286850595,0.9760060035763215,4.134164670108176,-1.4515373565400278
no_mtfm,475.723,1288.6710208583104,0.8335818136012947,0.6056202790122178,-6.7617675483528625,-3.702276902575515,7.180575148439395,5.377938465943635
no_pprm,492.44174,1339.7832380650236,0.7841167469940228,0.5737155095247556,-3.485016652519262,0.11715417005714916,0.820438444138542,-0.17349194735678428
