,MAE,RMSE,PCC,R2,MAE_CHANGE,RMSE_CHANGE,PCC_CHANGE,R2_CHANGE
none,47.616177,106.240739486143,0.9084626521514272,0.7607020206090898,,,,
no_agam,48.102467,104.138270087778,0.9097079970246452,0.7700795638258744,1.0212705652534784,-1.9789672102566906,0.13708267150760695,1.232748561555823
no_mtfm,47.33607,105.5500057363215,0.9097588361873294,0.7638035136295287,-0.5882601620873532,-0.6501590191883,0.14267884682244533,0.4077145763272183
no_pprm,82.020935,177.668724825868,0.7306964194115693,0.3307646695808203,72.25434750883086,67.2321989523062,-19.56780857406419,-56.51849730647765
