,MAE,RMSE,PCC,R2,MAE_CHANGE,RMSE_CHANGE,PCC_CHANGE,R2_CHANGE
none,111.95151,250.98706702238664,0.8410595909014289,0.6811468626848998,,,,
no_agam,97.29837,222.921799979836,0.8668713908642884,0.7484680899916413,-13.08882747539537,-11.181957451236867,3.068962085694193,9.883511324030641
no_mtfm,108.53026,237.8335240378236,0.8472645953590292,0.713691560354889,-3.0560105888701283,-5.240725404942807,0.7377603828225678,4.7779266782066205
no_pprm,118.98332,265.6093671870403,0.8302725069449354,0.6429123689658963,6.2811211746943005,5.825917780596006,-1.2825588190406545,-5.613252561759331
