stamp,kind,exp,dataset,horizon,val_rmse
20260819_072111,config,"nodecay,regpre,multgate",nhs_timeseries,3,2.9356,0.996046,0.987668,7e-06,0.282171,0.278431,1.0
20260819_072111,config,"nodecay,regpre,multgate",nhs_timeseries,7,7.2268,0.992993,0.977458,1e-06,0.312655,0.288345,1.0
20260819_072111,config,"nodecay,regpre,multgate",nhs_timeseries,14,17.4359,0.991498,0.972332,4e-06,0.274232,0.292098,1.0
20260819_072111,config,"nodecay,regpre,multgate",japan,3,612.0582,0.997486,0.981022,0.0,0.108001,0.079692,1.0
20260819_072111,config,"nodecay,regpre,multgate",japan,5,532.9109,0.998001,0.98562,0.0,0.119493,0.075011,1.0
20260819_072757,config,"nodecay,regpre,rank2",nhs_timeseries,3,2.7559,0.997183,0.992331,0.086426,0.672251,0.368014,1.0
20260819_072757,config,"nodecay,regpre,rank2",nhs_timeseries,7,8.6193,0.95814,0.73947,0.588541,1.155466,1.14492,1.0
20260819_072757,config,"nodecay,regpre,rank2",nhs_timeseries,14,15.3866,0.988415,0.957807,0.154915,0.604184,0.494702,1.0
20260819_072757,config,"nodecay,regpre,rank2",japan,3,817.7342,0.934717,0.656498,0.910372,1.559938,1.684624,1.0
20260819_072757,config,"nodecay,regpre,rank2",japan,5,865.9262,0.920979,0.363246,0.891701,1.419465,1.764551,1.0
20260819_073347,config,"nodecay,regpre,rank16",nhs_timeseries,3,2.7035,0.973199,0.839503,0.237052,0.637437,0.68717,1.0
20260819_073347,config,"nodecay,regpre,rank16",nhs_timeseries,7,8.9556,0.914155,0.481794,0.67401,0.777224,0.724221,1.0
20260819_073347,config,"nodecay,regpre,rank16",nhs_timeseries,14,19.5733,0.97722,0.940414,0.59367,0.421256,0.487942,1.0
20260819_073347,config,"nodecay,regpre,rank16",japan,3,657.3652,0.940667,0.441029,0.828117,0.632407,0.752986,1.0
20260819_073347,config,"nodecay,regpre,rank16",japan,5,726.4815,0.77069,0.088787,0.983734,1.14113,1.109741,1.0
20260819_073909,config,"nodecay,regpre,adjstd,lrx10",nhs_timeseries,3,2.6952,0.985134,0.877069,0.247378,1.035929,0.924939,1.0
20260819_073909,config,"nodecay,regpre,adjstd,lrx10",nhs_timeseries,7,7.2679,0.760228,0.06349,0.995167,2.051329,1.334547,1.0
20260819_073909,config,"nodecay,regpre,adjstd,lrx10",nhs_timeseries,14,17.0222,0.635974,0.096174,0.9988,1.836539,1.628039,1.0
20260819_073909,config,"nodecay,regpre,adjstd,lrx10",japan,3,624.653,0.519199,0.095505,0.999975,2.624204,3.192681,1.0
20260819_073909,config,"nodecay,regpre,adjstd,lrx10",japan,5,694.1158,0.539318,0.213013,0.999907,2.276008,2.434138,1.0
20260819_074544,config,"nodecay,regent",nhs_timeseries,3,3.0251,0.13465,0.001005,0.989465,1.797987,1.835706,1.0
20260819_074544,config,"nodecay,regent",nhs_timeseries,7,7.4775,0.81204,0.374049,0.917813,0.985379,0.888073,1.0
20260819_074544,config,"nodecay,regent",nhs_timeseries,14,17.288,0.943593,0.791877,0.736882,0.767214,0.756346,1.0
20260819_074544,config,"nodecay,regent",japan,3,504.6693,0.989263,0.915692,0.793143,0.63,0.6381,1.0
20260819_074544,config,"nodecay,regent",japan,5,611.2634,0.829139,0.340153,0.975888,1.365449,1.385489,1.0
20260819_111242,config,"nodecay,regpre",nhs_timeseries,3,3.1916,0.395088,0.044157,0.922403,2.183639,1.810392,1.0,0.58888,3.423899,0.647602,0.5889 0.0664 0.0413 0.0361 0.0335 0.0314 0.0297 0.0282 0.0267 0.0255 0.0244 0.0235 0.0226 0.0218
20260819_111242,config,"nodecay,regpre",nhs_timeseries,7,8.1834,0.5712,0.084327,0.924534,1.357936,1.497818,1.0,0.243914,4.51328,0.875404,0.2439 0.1831 0.1287 0.0876 0.0600 0.0442 0.0378 0.0343 0.0321 0.0308 0.0300 0.0295 0.0291 0.0288
20260819_111242,config,"nodecay,regpre",nhs_timeseries,14,18.3244,0.691848,0.267661,0.856781,0.991527,0.985976,1.0,0.132321,5.790202,0.959797,0.1323 0.1251 0.1169 0.1065 0.0922 0.0700 0.0471 0.0428 0.0435 0.0440 0.0445 0.0448 0.0451 0.0453
20260819_111242,config,"nodecay,regpre",japan,3,718.4181,0.544591,0.000566,0.997862,1.969149,1.747714,1.0,0.157768,5.517818,0.943287,0.1578 0.1415 0.1235 0.1039 0.0824 0.0597 0.0417 0.0365 0.0380 0.0399 0.0416 0.0432 0.0445 0.0458
20260819_111242,config,"nodecay,regpre",japan,5,856.9795,0.558957,0.03856,0.998272,2.264546,2.090612,1.0,0.131207,5.101407,0.9183,0.1312 0.1377 0.1414 0.1353 0.1163 0.0800 0.0429 0.0320 0.0303 0.0300 0.0301 0.0304 0.0309 0.0316
20260819_111712,config,"nodecay,regpre,renewal_lag0",nhs_timeseries,3,2.905,0.337435,0.009992,0.92191,2.15323,1.976301,1.0,0.770129,1.469562,0.426493,0.7701 0.0247 0.0218 0.0202 0.0191 0.0183 0.0177 0.0171 0.0165 0.0159 0.0153 0.0148 0.0144 0.0140
20260819_111712,config,"nodecay,regpre,renewal_lag0",nhs_timeseries,7,8.1834,0.5712,0.084327,0.924534,1.357936,1.497818,1.0,0.243914,3.51328,0.875404,0.2439 0.1831 0.1287 0.0876 0.0600 0.0442 0.0378 0.0343 0.0321 0.0308 0.0300 0.0295 0.0291 0.0288
20260819_111712,config,"nodecay,regpre,renewal_lag0",nhs_timeseries,14,18.2018,0.661286,0.176664,0.898736,1.121686,1.076407,1.0,0.155108,4.431242,0.941457,0.1551 0.1411 0.1256 0.1080 0.0865 0.0610 0.0428 0.0392 0.0393 0.0397 0.0400 0.0403 0.0406 0.0408
20260819_111712,config,"nodecay,regpre,renewal_lag0",japan,3,631.7703,0.763109,0.002995,0.99559,1.93326,1.687584,1.0,0.1252,4.850168,0.963311,0.1252 0.1194 0.1131 0.1056 0.0953 0.0790 0.0562 0.0436 0.0422 0.0426 0.0433 0.0440 0.0448 0.0456
20260819_111712,config,"nodecay,regpre,renewal_lag0",japan,5,688.3748,0.49052,0.093614,0.999308,2.23913,2.295458,1.0,0.14395,3.573507,0.876001,0.1439 0.1529 0.1641 0.1571 0.1175 0.0695 0.0356 0.0247 0.0225 0.0219 0.0220 0.0222 0.0227 0.0234
20260819_112704,config,"nodecay,regpre",nhs_timeseries,3,3.2603,0.329241,0.015275,0.950514,1.885094,2.112974,1.0,0.675841,2.037159,0.619455,0.6758 0.0731 0.0601 0.0528 0.0488 0.0459 0.0434
20260819_112704,config,"nodecay,regpre",nhs_timeseries,7,7.9377,0.554602,0.04829,0.929463,1.481683,1.31153,1.0,0.50736,2.348054,0.777047,0.5074 0.1821 0.0839 0.0650 0.0568 0.0533 0.0516
20260819_112704,config,"nodecay,regpre",nhs_timeseries,14,18.2886,0.665846,0.257152,0.900912,1.06694,0.948979,1.0,0.287567,2.975932,0.919705,0.2876 0.2412 0.1592 0.0739 0.0771 0.0796 0.0814
20260819_112704,config,"nodecay,regpre",japan,3,595.3961,0.640685,0.002685,0.997873,1.874268,1.861302,1.0,0.297015,2.907755,0.90788,0.2970 0.2478 0.1623 0.0676 0.0718 0.0755 0.0780
20260819_112704,config,"nodecay,regpre",japan,5,728.631,0.552387,0.127038,0.998758,2.165662,1.905855,1.0,0.261895,2.883762,0.901949,0.2619 0.2620 0.2061 0.0704 0.0664 0.0666 0.0667
20260819_113717,config,"nodecay,regpre",nhs_timeseries,3,3.2455,0.377499,0.024801,0.919576,2.098464,1.704806,1.0,0.685525,3.633114,0.517273,0.6855 0.0308 0.0224 0.0210 0.0202 0.0195 0.0188 0.0181 0.0175 0.0168 0.0163 0.0158 0.0153 0.0148 0.0143 0.0139 0.0135 0.0131 0.0126
20260819_113717,config,"nodecay,regpre",nhs_timeseries,7,8.4467,0.545892,0.026886,0.948396,1.572614,1.578155,1.0,0.251198,5.33589,0.844417,0.2512 0.1695 0.1128 0.0775 0.0555 0.0422 0.0340 0.0293 0.0268 0.0249 0.0232 0.0218 0.0206 0.0198 0.0190 0.0185 0.0180 0.0178 0.0176
20260819_113717,config,"nodecay,regpre",nhs_timeseries,14,18.5221,0.713472,0.319041,0.82138,0.866777,0.893094,1.0,0.084793,8.16721,0.977413,0.0848 0.0828 0.0806 0.0782 0.0753 0.0715 0.0660 0.0567 0.0423 0.0353 0.0354 0.0358 0.0361 0.0363 0.0364 0.0365 0.0366 0.0367 0.0368
20260819_113717,config,"nodecay,regpre",japan,3,790.9422,0.377492,0.0,0.999036,3.176498,2.615944,1.0,0.77216,2.117209,0.357301,0.7722 0.0932 0.0245 0.0144 0.0112 0.0096 0.0086 0.0078 0.0073 0.0066 0.0061 0.0055 0.0051 0.0049 0.0047 0.0046 0.0045 0.0045 0.0048
20260819_113717,config,"nodecay,regpre",japan,5,1090.5665,0.680795,0.201567,0.992533,1.296168,1.281221,1.0,0.073586,8.328065,0.98072,0.0736 0.0748 0.0761 0.0772 0.0774 0.0758 0.0705 0.0590 0.0462 0.0399 0.0377 0.0367 0.0360 0.0358 0.0360 0.0363 0.0366 0.0370 0.0375
20260819_114943,config,"nodecay,regpre,renewres,renewal_lag0",nhs_timeseries,3,2.9313,0.928895,0.622671,0.46772,1.100873,1.187524,1.0,0.001615,0.143547,2.994651,0.999998,0.1435 0.1432 0.1430 0.1428 0.1426 0.1425 0.1424
20260819_114943,config,"nodecay,regpre,renewres,renewal_lag0",nhs_timeseries,7,8.1922,0.679995,0.407182,0.852327,1.028915,0.915983,1.0,0.683428,0.274172,2.056553,0.933318,0.2742 0.2340 0.1566 0.0846 0.0825 0.0836 0.0846
20260819_114943,config,"nodecay,regpre,renewres,renewal_lag0",nhs_timeseries,14,17.7314,0.692244,0.270073,0.908517,1.087999,1.047697,1.0,0.644147,0.27273,2.057759,0.932929,0.2727 0.2333 0.1613 0.0821 0.0818 0.0836 0.0850
20260819_114943,config,"nodecay,regpre,renewres,renewal_lag0",japan,3,575.8888,0.73608,0.119956,0.996321,1.980295,1.807016,1.0,0.511625,0.276341,1.985818,0.921157,0.2763 0.2486 0.1637 0.0760 0.0758 0.0787 0.0808
20260819_114943,config,"nodecay,regpre,renewres,renewal_lag0",japan,5,799.5022,0.674916,0.098838,0.997977,1.808365,1.708953,1.0,0.497067,0.246077,2.024323,0.926464,0.2461 0.2435 0.2013 0.0838 0.0752 0.0749 0.0753
20260819_115735,config,"nodecay,regpre,renewres",nhs_timeseries,3,2.8941,0.700474,0.07474,0.761408,1.734442,1.726653,1.0,-0.074984,0.138014,4.060514,0.999748,0.1380 0.1364 0.1399 0.1436 0.1458 0.1474 0.1489
20260819_115735,config,"nodecay,regpre,renewres",nhs_timeseries,7,8.0199,0.689147,0.414282,0.852597,0.961111,0.872391,1.0,0.669759,0.252737,3.172405,0.949262,0.2527 0.2226 0.1625 0.0936 0.0889 0.0895 0.0901
20260819_115735,config,"nodecay,regpre,renewres",nhs_timeseries,14,19.6463,0.792808,0.510553,0.762186,0.703645,0.718032,1.0,0.738876,0.202102,3.453194,0.974374,0.2021 0.1976 0.1850 0.0967 0.1048 0.1065 0.1073
20260819_115735,config,"nodecay,regpre,renewres",japan,3,577.0745,0.598568,0.001311,0.99735,1.806338,1.733636,1.0,0.43035,0.331125,2.784197,0.884892,0.3311 0.2602 0.1326 0.0643 0.0670 0.0708 0.0739
20260819_115735,config,"nodecay,regpre,renewres",japan,5,825.1294,0.842031,0.524365,0.988774,1.421356,1.098765,1.0,0.543914,0.214351,3.288567,0.959519,0.2144 0.2142 0.1969 0.0968 0.0919 0.0925 0.0933
